Handle,Impact Hours
marinam00,14.53068881
jamessimbouras,14.42038302
Lydia#2825,13.9593106
nathalia#0926,13.90770897
paxthemax,13.77086366
chriscyber,13.54955733
existenialstoic,13.48052404
jonassft,13.45676808
sbilbao,13.43048842
simunstrukan,13.40636894
JoeZ#9988,13.40044839
luukweber,13.33831882
David (please DYOR...)#4116,13.33673637
cpt_grog,13.13406675
sergei_tran,12.86905641
gfriis,12.58475918
unquale,12.47411692
d8n13l,12.46365575
sepu85,12.32785407
renzod5,12.30901683
katalenacaban,11.94630211
tjayrush,11.79238016
rogervs,11.54676855
pprhsk,11.49569923
lbagic,11.16669636
juliet_myea,11.03610201
josevicente1,10.98377757
andfletcher,10.6595551
mercedesrodsim,10.60618896
auryn_macmillan,10.58044839
crypt0dawg,10.500931
markusbkoch#6770,10.47504406
ZER8🧠#9093,10.3580826
petheth,10.01175099
aaron_soskin,9.638906632
nelsonm,9.331023427
A Mensch#5604,9.145675117
johann#1308,9.031082093
katebee,8.866709755
Michal#7390,8.766776048
officialnico,8.732135988
boring877,8.682545508
thebeautyway,8.612214902
antoniopaglino,8.308376544
magentaceiba,8.271896893
BK#7471,8.162588679
krisparuch,8.116949457
danielo#2815,8.087076654
fahern#7639,7.887732753
PaulaBerman#9915,7.74262956
josiprajevic,7.737642936
castall,7.724808474
rpp63,7.469808634
Ekeneodigwe#1502,7.424945221
morgangr,7.371562214
brutalfluffy,7.365313811
positonic,7.155188157
elessar.eth#7945,7.136627877
jakublanc,7.078186392
Typto,7.053479167
bradleyc#1813,6.788701773
glefevre,6.710441694
stephen_yo,6.262482599
solarpunk_girl,6.253701119
davidkish,6.250962396
davidhq,6.191557711
xlcrr,6.160403201
xqtstrategy,5.915536292
Revathi#5324,5.82445095
nukemandan,5.744592804
willruddick,5.697796888
pkk777,5.692945403
bends#3537,5.542953198
penguin#5853,5.518162714
celineflash,5.515662161
orishim,5.513233219
melvera,5.450343069
tokenbrice,5.340856029
kaikai520#0224,5.270801819
rafaelcalcada#1402,5.161465537
maxsong123,5.066937234
witwiki3,4.982611652
WhyldWanderer#7002,4.928567353
ryanchrypto,4.754497155
CJ_33Logic#3171,4.746608497
Lin#3884,4.716741347
exiledsurfer,4.643313413
tunoncedemalis,4.546913621
Mettodo#7010,4.359862024
acryptomuppet,4.33087943
adriamb,4.33036628
chanate91,4.263119747
nic#9212,4.081877041
hxrts,4.065751791
paul2#3057,3.977024744
Ermini0#7687,3.966123491
bierlingm,3.920019712
Michel Bauwens#1511,3.896683987
gagarine#9410,3.884220995
thelastjosh,3.856230117
eugene#1706,3.82212754
REOS#2250,3.739579903
adaptdao,3.631472528
gcrewe,3.588207798
aleezagroks,3.584432655
The Blockchain Socialist#5005,3.544931196
adnfx2#9648,3.530670418
rodbot2#3621,3.506180409
codersinblack,3.498741416
Julio Holon#2942,3.466594479
smokyish,3.460194673
alexholman,3.449693932
monstros1ty,3.397212824
LeonS#5914,3.343350634
willyogo,3.323074788
lanski13,3.304420306
adriazero,3.21088473
staccop2p,3.204968999
tawhuac,3.19966254
nyanncatt,3.19966254
jodisattva,3.19966254
yalormewn,3.178425424
tze42,3.137411343
jelena_dragovic,3.117804512
ComandoBurrito,3.116727159
matslats,3.11641155
kei#9866,3.109188733
Pineapple#7041,3.109151327
independentcurrencies,3.073
andythegreenie#7463,3.071284199
hanners717,3.065149659
barlin#4926,3.044940949
Mateo#5403,3.044322192
seedsalchemist,3.018057823
kentphilly,2.969971817
cemfd,2.915896682
Christian_RegenNetwork#5044,2.915195118
edendh,2.88282691
blackboxdotart,2.873119247
oedth,2.870010848
airnova#1324,2.857071987
innov8tor3#3988,2.857071987
barnabemonnot,2.850333502
Tyrannosaurus#3104,2.801
ivanthinking,2.724343554
tech_digger,2.713596376
ferdinandrg,2.711617566
BlockEnthusiast,2.680932439
deam123,2.62036064
MikeGilliland#3316,2.608948627
Rex#1134,2.560843168
terry#6288,2.54061664
Mike Elias#4724,2.477678574
Atotsm#5719,2.427684055
matiasbd,2.414270194
Pronoia🐙#2154,2.40845545
freshelle,2.396377468
Bagholder McFomo III 🐙#9024,2.387796839
jantinine,2.382381662
harsh24#4473,2.378
wertuals,2.358338179
"tommy,🐙#3630",2.346531911
kalesalad#3511,2.346531911
jantanner#2104,2.317098553
johnkellden,2.289660994
meta_dreamer,2.28527134
flakoubay,2.245699756
FutureMike#3316,2.244644384
ActiveInferenceLab#3629,2.201633887
michaelr10,2.198583662
taxil#8577,2.198417251
hanna_nevermind,2.080025734
ubipromoter,2.058873157
🐙Musashi13#5579,2.055905342
Andeh#4874,2.050265459
Liam ¬ LTF#1024,2.048066912
CurlyBracketEffect#5572,2.033522551
joaonit#7081,1.926958856
eskalexia,1.898709766
Guy James#3266,1.886488817
ontologymachine,1.866318619
Will | Regen Foundation#6405,1.779980357
arcorren,1.751865338
decap#9400,1.736100925
Shaila#4348,1.735415495
victorid,1.714267953
HazardJ#9101,1.68691756
Kike Bell#8265,1.670794236
zeroknowledge#8287,1.651785716
rokkranjc,1.651785716
ollitiainen,1.651785716
emalinus,1.651785716
Mayu ☪Dev Protocol🌟#8814,1.622523842
dysbulic 🐙#3391,1.612676123
Si Chen#0557,1.580190446
xibot0x,1.576086436
proofoftom,1.574501561
hypereum,1.524384039
wipabramson,1.524263172
jasselnorm,1.524263172
OKDuncan,1.511120929
JoeEchidna,1.508207461
maZed#4761,1.503
Michiel 🐙#0195,1.503
shrutiappiah1,1.48536555
willszal#6405,1.481151607
SweptbackCat#9656,1.465742987
meedabyte,1.405743782
Christel#2333,1.396417248
hernandoagf#3014,1.396417248
ZoushHoang#2376,1.384366639
cyotee,1.36032556
ajmaq,1.313796728
harithk17,1.305488817
mikaelseppala#6132,1.305488817
francescovaub,1.303846642
lalogarza,1.290409085
cannabiscommunitycare,1.267405073
Aggre 🗾🗼 Dev Protocol#3446,1.25115971
Thales#8858,1.238263979
rod266#3161,1.227785219
enti#1546,1.227785219
DW#5584,1.227785219
DeepTroop#4783,1.21627467
macerer,1.139267953
vasileios_panagiotidis,1.137085788
BadJuju#1050,1.135214761
eeeit,1.110421517
Leanne#9678,1.099120929
Miles#9305,1.09670639
NirV#4850,1.075386639
sinsan#3757,1.061784244
Marc#9662,1.058885868
🐙 Misanth 🐙#7407,1.058885868
Elementarycomplexity,1.055156698
revxzx,1.05210528
Raul#2668,1.044089456
dunks411 | Adept Camp#2178,1.036241858
CaseyR#2795,1.036241858
ethicraul,1.013207353
keepitsane#8407,0.9913795917
kyle_stargarden,0.9905490278
viken33,0.9867772631
notsure1#0821,0.9705831694
jakubgregus,0.9340066275
atitcomb,0.9307100069
graven#6675,0.9090574516
igorline,0.9075640141
edapt,0.9040009918
Nestor#8357,0.875
Wright#9119,0.8680729884
tomerba,0.8680729884
davidking 🐝#0780,0.8680729884
dahlberry,0.8680729884
arrow#5491,0.8591703229
santosthegreat,0.8303726279
rad casale#6107,0.8297643163
Tyler Golato#5399,0.8258928581
wunluv,0.8220578847
stan#3519,0.8170434755
blockchainberlin,0.8060347613
stefdelev#6019,0.8057373328
Darren432,0.8057373328
monsterplayaus,0.7967939956
D8N1#8408,0.7914556442
SteffClearTeam#6495,0.7886151997
JohnnyPedala#5454,0.7886151997
ejlsh-dt#8607,0.7886151997
CryptoDude#5999,0.7886151997
cryptononymouseconomist,0.7869732244
W A L Y D#4325,0.7748396168
vanjeer#1629,0.7748396168
charingane,0.75
patogit#7853,0.7485816091
EFRA#7972,0.7485816091
quentin_hb,0.7446313271
supernova_labs,0.7385230508
fenjamin,0.7364431887
TamedImpala#7142,0.6765296278
JoaoEstellita#3866,0.6765296278
itiszacs#2501,0.6765296278
Ezra#7391,0.6765296278
emmy#1303,0.6765296278
alex.v | Gnosis#4495,0.6765296278
0xJoshua#0888,0.6765296278
prasad_h#9454,0.6607142865
OK#8891,0.6607142865
jpaulet#3269,0.6607142865
deepcryptodive,0.6607142865
bimboom66#4846,0.6607142865
sknuth#9426,0.6486415708
wildpau,0.6166991577
jimbobbins,0.6166991577
jamiepitts,0.6166991577
erikbjare,0.6166991577
eduadiez,0.6166991577
dazuck,0.6166991577
bradym,0.6166991577
benjaminaaron,0.6166991577
byzzyy,0.5982966115
evaninsky#4772,0.581
ferranrego,0.581
Xlebushek#6643,0.5807579475
tian#6241,0.5807579475
kaptan48#3044,0.5807579475
jahed#1529,0.5807579475
GOOMBZ#3280,0.5807579475
fakepixels#6258,0.5807579475
sethfork,0.5691553863
youngkidwarrior,0.5407604926
a_bornstein,0.518120929
yangwao,0.5134541178
sanolution,0.5083319774
OddName#8763,0.4293879318
cryptainist,0.4293879318
nickjplace,0.4016500617
lefterisjp,0.3713641322
irenioskamoska#7519,0.3713641322
CleanApp,0.3481247811
fatrui,0.2893501542
MonetaryPlurality#6033,0.2705976188
mindmonkey#3630,0.2705976188
kelsiemvn,0.2705976188
econaut6,0.207593157
scupytrooples,0.1230871751
paulsalis,0.1230871751
hubway,0.1138547335
gijsspoor,0.1138547335
marveloushelper,0.1122849878
denissrgn,0.08933717579
robinwhitney,0.07343633266
pimpmypeon,0.07343633266
cryptonian_z,0.07343633266
asalemalawi,0.04831157635
wolfofcurrency,0.03771202487
llll79,0.02762116382
immortaz,0.02514134991
burningfiat,0.02514134991
